t,ax,ay,az,gx,gy,gz
0.598740400004317,0.0,0.0,0.0,-0.002411821841381574,-0.06318960780761253,0.0003396688722323699
0.6266613000043435,0.0,0.0,0.0,0.0009319942266373375,0.003659320687151988,1.8497851614715805e-05
0.6715717999977642,0.0,0.0,0.0,9.131814436195706e-05,0.00242479249905876,0.00018288568490954597
0.7201459999996587,0.0,0.0,0.0,-1.5513454182870406e-05,-0.00011712174349690935,0.00028791353851585804
0.7689689000035287,0.0,0.0,0.0,-2.3759054407640764e-05,-0.0005704969099568054,0.00040284279610374265
0.8213615999993635,0.0,0.0,0.0,4.264350732768815e-05,0.0002912818958217801,0.00038942410553096383
0.8708731000006082,0.0,0.0,0.0,-1.2891689765491176e-05,-0.00036507163780961693,0.0003357034626715332
0.9184901000044192,0.0,0.0,0.0,9.310507546079143e-06,0.00012964692344217768,-3.739144550284227e-05
0.9757182000030298,0.0,0.0,0.0,4.109601076455252e-05,0.0004368345690676554,0.00017707527961097127
1.0246125999983633,0.0,0.0,0.0,2.681642206681785e-05,0.0004291526281001909,0.0002398373092782521
1.0761268999995082,0.0,0.0,0.0,8.031658793177076e-06,0.0003299520401476435,0.00019271590335825798
1.1272737000035704,0.0,0.0,0.0,-2.3407561950024824e-05,-0.0011600930743184497,-0.00012579686403810193
1.1724756999974488,0.0,0.0,0.0,9.826830721829102e-06,-3.268946924085827e-05,-0.00023668036853558602
1.223066700003983,0.0,0.0,0.0,-4.409542342516524e-05,0.0004937915762510525,-0.00018570918593406306
1.274357800000871,0.0,0.0,0.0,3.310126747547877e-05,0.0002492127943570432,-9.442671150511136e-05
1.3244823999993969,0.0,0.0,0.0,-7.659378096304655e-05,-0.0010494041347176885,0.00010476108799200937
1.3728317999994033,0.0,0.0,0.0,-6.290977440570163e-06,-9.714837934979218e-05,0.0003049515454262038
1.4204810000010184,0.0,0.0,0.0,0.000110034311820252,0.001061925172625221,0.00045224234391131126
1.475452700004098,0.0,0.0,0.0,-3.345365660022286e-05,0.0005031683423671306,0.0002544969901531403
1.526949600003718,0.0,0.0,0.0,-1.0924696278148128e-05,-0.0004248634273655245,0.00048070625165743953
1.5748603000029107,0.0,0.0,0.0,-2.738023366923234e-05,-0.00038271060272521953,0.0004087277329943741
1.625246600000537,0.0,0.0,0.0,6.400727373743197e-05,0.0005380617792159052,0.00017755454728139703
1.671178399999917,0.0,0.0,0.0,-8.174009994464106e-05,-0.0007735843292382297,0.0002880908329609403
1.7222869000033825,0.0,0.0,0.0,5.699599587771667e-05,0.00021296671898103135,0.0003133744968282383
1.770319200004451,0.0,0.0,0.0,-3.121976101173358e-05,1.4057129364639793e-05,0.0003191964864812913
1.8186346000002231,0.0,0.0,0.0,4.351163687070522e-05,0.0003606792677742136,0.0002663888423971182
1.8689952999993693,0.0,0.0,0.0,-5.052485510147563e-06,-0.00011729938245887942,0.0003613825423769587
1.9208779000036884,0.0,0.0,0.0,-2.7605157582223262e-05,0.0007010239425337676,0.00017406503380046763
1.969790399998601,0.0,0.0,0.0,3.724989506853782e-07,-0.0001411400061146772,0.00012216305705100078
2.019452500004263,0.0,0.0,0.0,-2.5556858697463386e-05,-0.0008084262612380003,0.0002516268325829339
2.068573299999116,0.0,0.0,0.0,2.2068441015591518e-05,-0.00016829450499877954,0.0004045131278777786
2.12107339999784,0.0,0.0,0.0,2.9513501478978142e-05,-0.00014161848811593806,0.0001123741761270673
2.1724423999985447,0.0,0.0,0.0,-5.026452319958913e-06,0.00043316907048321254,0.0001500109793795213
2.220867600000929,0.0,0.0,0.0,-5.468322209950958e-05,0.0003146778117874049,0.0002686303627879315
2.2689871999973548,0.0,0.0,0.0,-7.324308247830284e-05,0.0006489833218720157,0.0002585167773785296
2.3198199000034947,0.0,0.0,0.0,0.00015110153681352202,-0.0009813051792906446,0.000309327789451899
2.3704400999995414,0.0,0.0,0.0,-5.3942245123398595e-05,-0.00025741645909085203,0.00016214204954149666
